[n]	[m]	[probability]
1057	701	0.521471
1058	1252	0.609946
1059	589	0.294161
1060	1013	0.904123
1061	1414	0.735099
1062	1220	0.475010
1063	1535	0.510811
1064	1223	0.826275
1065	1749	0.254487
1066	857	0.521925
1067	1517	0.334659
1068	433	0.455383
1069	831	0.444951
1070	1535	0.526666
1071	1252	0.926623
1072	1512	0.326251
1073	967	0.335421
1074	1535	0.519575
1075	1119	0.466827
1076	895	0.716008
1077	701	0.528429
1078	1070	0.390607
1079	1003	0.808370
1080	1003	0.807165
1081	589	0.364316
1082	1615	0.526757
1083	1243	0.287141
1084	1620	0.534103
1085	1600	0.629298
1086	1448	0.232056
1087	586	0.741612
1088	1589	0.375650
1089	693	0.461386
1090	1216	0.501830
1091	1335	0.709983
1092	1603	0.389311
1093	1003	0.849217
1094	1615	0.954864
1095	1578	0.936996
1096	1575	0.761199
1097	1650	0.496562
1098	729	0.421972
1099	1396	0.484137
1100	1578	0.581688
1101	1095	0.653071
1102	1512	0.661676
1103	1267	0.529420
1104	1650	0.651210
1105	1374	0.644006
1106	543	0.375277
1107	1728	0.509409
1108	1323	0.409076
1109	586	0.850489
1110	603	0.362295
1111	647	0.316785
1112	433	0.552510
1113	1334	0.549227
1114	1736	0.934214
1115	1383	0.378128
1116	1252	0.816907
1117	1235	0.408395
1118	1519	0.565968
1119	723	0.323773
1120	586	0.488154
1121	1514	0.366772
1122	1984	0.852703
1123	1728	0.534192
1124	777	0.313310
1125	1336	0.694799
1126	583	0.560160
1127	1521	0.547071
1128	1474	0.490716
1129	1322	0.617566
1130	1994	0.559569
1131	1650	0.711155
1132	603	0.409286
1133	1334	0.599624
1134	1784	0.374190
1135	1861	0.625289
1136	937	0.309627
1137	1024	0.677490
1138	1413	0.341570
1139	1615	0.709632
1140	819	0.469889
1141	1336	0.625329
1142	500	0.635459
1143	1461	0.418714
1144	1334	0.542814
1145	1728	0.717147
1146	1578	0.557242
1147	2072	0.341215
1148	1749	0.984758
1149	916	0.228388
1150	819	0.350540
1151	1408	0.616667
1152	1121	0.662329
1153	1782	0.988230
1154	1744	0.619461
1155	1749	0.994402
1156	1146	0.448415
1157	605	0.387992
1158	1311	0.857324
1159	1736	0.941464
1160	1286	0.886750
1161	1861	0.652460
1162	1760	0.957085
1163	525	0.567862
1164	1727	0.941843
1165	1189	0.493262
1166	1731	0.742774
1167	1666	0.558971
1168	751	0.638563
1169	1541	0.587520
1170	1436	0.353167
1171	1441	0.320363
1172	1485	0.576384
1173	797	0.431743
1174	1710	0.332491
1175	1235	0.475412
1176	1020	0.452769
1177	1189	0.615834
1178	505	0.307169
1179	1819	0.651659
1180	1343	0.592364
1181	1736	0.855491
1182	1608	0.590310
1183	1736	0.784638
1184	1571	0.318522
1185	1274	0.623301
1186	1566	0.891634
1187	1891	0.810947
1188	1461	0.303926
1189	1502	0.798540
1190	585	0.767318
1191	1020	0.324947
1192	1854	0.760682
1193	1744	0.735397
1194	811	0.323012
1195	1710	0.266803
1196	1854	0.708289
1197	1776	0.727707
1198	1282	0.499041
1199	1891	0.789816
1200	1282	0.563863
1201	1819	0.600138
1202	1475	0.288111
1203	1791	0.774702
1204	2046	0.602046
1205	1322	0.337661
1206	1775	0.521302
1207	1608	0.675640
1208	1782	0.829901
1209	1891	0.819893
1210	1282	0.507072
1211	1791	0.528010
1212	1758	0.747664
1213	1665	0.407496
1214	1819	0.354507
1215	1328	0.754851
1216	1744	0.729558
1217	1714	0.387094
1218	1400	0.412912
1219	1382	0.382603
1220	1571	0.527444
1221	1731	0.745133
1222	1460	0.431293
1223	1338	0.354442
1224	1460	0.679522
1225	1679	0.496678
1226	1776	0.809737
1227	1791	0.846623
1228	1808	0.599105
1229	1716	0.399945
1230	1581	0.520855
1231	628	0.253321
1232	519	0.525406
1233	1775	0.673061
1234	1794	0.700470
1235	519	0.481532
1236	1248	0.609717
1237	2065	0.379893
1238	894	0.357313
1239	1576	0.721913
1240	1311	0.507452
1241	519	0.537967
1242	1338	0.305400
1243	1679	0.545446
1244	564	0.664585
1245	1594	0.436014
1246	1030	0.484915
1247	1732	0.502932
1248	519	0.535691
1249	564	0.594962
1250	1794	0.759288
1251	1775	0.767773
1252	1662	0.448512
1253	1710	0.374134
1254	1707	0.322866
1255	1460	0.800336
1256	1758	0.786962
1257	1727	0.542621
1258	976	0.402355
1259	1776	0.688395
1260	1065	0.557098
1261	1776	0.775542
1262	1359	0.643705
1263	1065	0.684901
1264	751	0.633300
1265	1784	0.541634
1266	1322	0.866593
1267	570	0.317334
1268	1484	0.377467
1269	565	0.463189
1270	564	0.453406
1271	1887	0.546586
1272	1479	0.309871
1273	1803	0.877159
1274	1744	0.613012
1275	1566	0.654068
1276	1294	0.275136
1277	1355	0.229158
1278	1705	0.448614
1279	1710	0.436139
1280	1748	0.535800
1281	1294	0.317925
1282	1359	0.574501
1283	1759	0.368368
1284	1581	0.413418
1285	976	0.491965
1286	1594	0.558624
1287	1662	0.487610
1288	736	0.409890
1289	1460	0.712142
1290	596	0.573988
1291	1355	0.402852
1292	2012	0.280770
1293	596	0.629530
1294	1586	0.484282
1295	1803	0.654591
1296	1392	0.503410
1297	2072	0.362825
1298	1714	0.468161
1299	1830	0.933074
1300	1727	0.805800
1301	1322	0.782613
1302	1443	0.481315
1303	953	0.379116
1304	1127	0.808213
1305	1445	0.546124
1306	1213	0.402203
1307	564	0.615227
1308	1858	0.494940
1309	1213	0.342630
1310	1392	0.410748
1311	1484	0.448092
1312	2065	0.417438
1313	1351	0.879242
1314	1475	0.253198
1315	1531	0.753466
1316	633	0.498496
1317	1392	0.372079
1318	1356	0.482579
1319	2046	0.561110
1320	1594	0.710548
1321	939	0.581476
1322	680	0.307036
1323	736	0.388509
1324	1737	0.345481
1325	1705	0.501014
1326	830	0.426899
1327	1253	0.360921
1328	1850	0.323336
1329	736	0.457954
1330	994	0.267403
1331	1357	0.593212
1332	1810	0.911942
1333	678	0.375908
1334	770	0.324651
1335	1871	0.401961
1336	2012	0.483529
1337	1759	0.484820
1338	1621	0.444225
1339	1830	0.795703
1340	1645	0.635235
1341	1830	0.653892
1342	1858	0.835913
1343	1362	0.545829
1344	1357	0.871000
1345	1508	0.477679
1346	808	0.162337
1347	1253	0.295534
1348	1904	0.513258
1349	2081	0.980206
