[n]	[m]	[probability]
1182	792	0.376282
1183	1855	0.402810
1184	557	0.702490
1185	2009	0.444285
1186	1846	0.343296
1187	2290	0.484053
1188	2381	0.355658
1189	1324	0.589606
1190	1077	0.388748
1191	846	0.430707
1192	1861	0.288732
1193	1822	0.205946
1194	745	0.370424
1195	1888	0.223199
1196	1340	0.531437
1197	1421	0.283651
1198	2366	0.340077
1199	1792	0.554204
1200	1832	0.564699
1201	1077	0.407016
1202	1391	0.551955
1203	1970	0.285858
1204	2090	0.287924
1205	1430	0.483098
1206	1046	0.356697
1207	1126	0.464379
1208	2126	0.843625
1209	1905	0.479700
1210	1602	0.673787
1211	2222	0.408153
1212	1421	0.476953
1213	1938	0.373349
1214	1711	0.429520
1215	1011	0.523456
1216	1421	0.605959
1217	636	0.688623
1218	1347	0.483474
1219	1855	0.350389
1220	989	0.737383
1221	521	0.392213
1222	1763	0.390687
1223	1858	0.409588
1224	1792	0.554980
1225	1905	0.533317
1226	1602	0.644130
1227	1483	0.406409
1228	701	0.210289
1229	2171	0.635508
1230	1792	0.368331
1231	1026	0.557928
1232	1430	0.465910
1233	1318	0.542119
1234	1963	0.383221
1235	2082	0.223571
1236	1632	0.785706
1237	1719	0.449429
1238	701	0.203816
1239	1974	0.512169
1240	1778	0.693536
1241	1532	0.237801
1242	976	0.586797
1243	1006	0.391494
1244	1179	0.481041
1245	1943	0.600447
1246	1785	0.337417
1247	2222	0.464027
1248	1026	0.471022
1249	521	0.321147
1250	1179	0.518372
1251	2086	0.703959
1252	2062	0.860724
1253	1263	0.262115
1254	792	0.410932
1255	2082	0.301241
1256	1214	0.750123
1257	1011	0.399118
1258	518	0.544577
1259	556	0.394267
1260	1286	0.965277
1261	1259	0.703728
1262	1427	0.440777
1263	1263	0.494728
1264	1259	0.467470
1265	2399	0.223573
1266	1987	0.421678
1267	2256	0.180154
1268	625	0.566513
1269	1658	0.564216
1270	1179	0.486075
1271	1905	0.527011
1272	1680	0.471511
1273	2469	0.398144
1274	1330	0.701157
1275	636	0.618101
1276	1680	0.524044
1277	556	0.338018
1278	1905	0.646365
1279	2045	0.512911
1280	2059	0.473090
1281	1680	0.519107
1282	808	0.420919
1283	1276	0.700293
1284	1938	0.626767
1285	1006	0.533627
1286	1878	0.539977
1287	1286	0.940204
1288	1869	0.636580
1289	1942	0.496724
1290	1615	0.254067
1291	2201	0.685955
1292	2540	0.317775
1293	1920	0.379899
1294	1748	0.786821
1295	1920	0.522374
1296	2101	0.327391
1297	1498	0.624027
1298	1680	0.689689
1299	556	0.294935
1300	1778	0.812696
1301	2123	0.328507
1302	1444	0.218835
1303	1615	0.381992
1304	1708	0.433449
1305	1641	0.293457
1306	2210	0.359189
1307	2547	0.659690
1308	2002	0.566820
1309	2489	0.572207
1310	1487	0.274845
1311	1820	0.710190
1312	1963	0.448238
1313	1286	0.723693
1314	513	0.317866
1315	557	0.259350
1316	505	0.367891
1317	930	0.544649
1318	1175	0.549033
1319	1498	0.540706
1320	2158	0.453851
1321	1107	0.375442
1322	1332	0.766082
1323	1869	0.719824
1324	1332	0.810524
1325	1658	0.652485
1326	1332	0.678392
1327	1778	0.717221
1328	1778	0.717221
1329	1410	0.485397
1330	1139	0.493752
1331	1447	0.631928
1332	1183	0.616057
1333	2152	0.961449
1334	1342	0.499185
1335	707	0.317216
1336	1006	0.450571
1337	1498	0.548126
1338	2141	0.514581
1339	2062	0.468999
1340	1641	0.281741
1341	1342	0.753412
1342	1447	0.935246
1343	1342	0.748228
1344	1843	0.393102
1345	1444	0.358564
1346	2557	0.437859
1347	1083	0.303447
1348	898	0.209286
1349	898	0.209286
1350	898	0.209286
1351	1708	0.760824
1352	2244	0.511982
1353	2244	0.468934
1354	1183	0.372313
1355	1286	0.595527
1356	727	0.414617
1357	2635	0.426197
1358	2225	0.302025
1359	2116	0.836993
1360	1191	0.322114
1361	2244	0.379108
1362	2244	0.379108
1363	2244	0.379108
1364	2071	0.868340
1365	1719	0.413268
1366	1719	0.413268
1367	1719	0.413268
1368	1183	0.899877
1369	1276	0.676804
1370	2570	0.735831
1371	2071	0.399756
1372	1183	0.537447
1373	1834	0.566352
1374	2201	0.730542
1375	2524	0.414037
1376	1286	0.376592
1377	1109	0.260695
1378	2544	0.454685
1379	2135	0.622187
1380	2245	0.203897
1381	911	0.241816
1382	1807	0.294155
1383	1343	0.596475
1384	1836	0.560624
