[n]	[m]	[probability]
1200	1443	0.396624
1201	1380	0.397463
1202	1037	0.498834
1203	1426	0.491344
1204	1227	0.326540
1205	1322	0.513526
1206	1283	0.336634
1207	1335	0.894891
1208	1361	0.980310
1209	1102	0.516025
1210	1443	0.456989
1211	1426	0.379156
1212	1411	0.215836
1213	1335	0.558157
1214	1410	0.432619
1215	1574	0.600193
1216	1342	0.215200
1217	1191	0.657464
1218	1252	0.513508
1219	1484	0.303568
1220	1571	0.368469
1221	1515	0.638746
1222	1168	0.385243
1223	1443	0.459398
1224	1059	0.556820
1225	1571	0.429761
1226	1455	0.533793
1227	1426	0.496885
1228	1630	0.372411
1229	1310	0.331526
1230	1168	0.440351
1231	1419	0.241383
1232	968	0.253313
1233	1283	0.454244
1234	1384	0.306149
1235	1229	0.208708
1236	1472	0.306390
1237	1250	1.000000
1238	1540	0.397126
1239	1343	0.298687
1240	1356	0.337457
1241	968	0.278818
1242	1443	0.390858
1243	1571	0.424832
1244	763	0.199829
1245	1484	0.295298
1246	1387	0.440086
1247	1233	0.406909
1248	968	0.290952
1249	763	0.210469
1250	1384	0.399600
1251	1283	0.374420
1252	1223	0.637983
1253	1550	0.251915
1254	1310	0.360128
1255	1059	0.751524
1256	1372	0.408890
1257	1584	0.596602
1258	1527	0.335434
1259	1455	0.554421
1260	1471	0.229518
1261	1455	0.580155
1262	1351	0.641571
1263	1387	0.228638
1264	1778	0.272870
1265	1191	0.908869
1266	1322	0.518324
1267	768	0.309735
1268	1373	0.263292
1269	730	0.279588
1270	763	0.202958
1271	1410	0.371569
1272	1362	0.234174
1273	1330	0.343826
1274	1363	0.222398
1275	1037	0.741412
1276	1479	0.446598
1277	1543	0.387584
1278	1571	0.380289
1279	1584	0.365355
1280	1335	0.829516
1281	1472	0.630407
1282	1351	0.545489
1283	1599	0.274959
1284	1302	0.390404
1285	1527	0.371355
1286	1484	0.310932
1287	1223	0.611308
1288	1496	0.167681
1289	1059	0.776967
1290	763	0.180348
1291	1438	0.216786
1292	1361	1.000000
1293	763	0.181561
1294	1168	0.842202
1295	1422	0.658667
1296	1037	0.448776
1297	1250	1.000000
1298	1191	0.444253
1299	1452	0.196072
1300	1603	0.585611
